7,RTL,USR$,V,0,1,
8,STANDARD," SYS$BULK_ERROR_RECORD",T,2,1,
9,STANDARD," SYS$REC_V2TABLE",T,0,1,
10,STANDARD," SYS$INT_V2TABLE",T,0,1,
20,STANDARD,LISTAGG,F,2,1,
21,STANDARD,CUME_DIST,F,,1,
22,STANDARD,DENSE_RANK,F,,1,
23,STANDARD,PERCENT_RANK,F,,1,
24,STANDARD,RANK,F,,1,
25,STANDARD,PERCENTILE_CONT,F,1,1,
26,STANDARD,PERCENTILE_DISC,F,1,1,
27,STANDARD,NTILE,F,1,1,
28,STANDARD,FIRST_VALUE,F,1,1,
29,STANDARD,LAST_VALUE,F,1,1,
30,STANDARD,ROW_NUMBER,F,0,1,
31,STANDARD,RATIO_TO_REPORT,F,1,1,
32,STANDARD,LAG,F,3,1,
33,STANDARD,LEAD,F,3,1,
34,STANDARD,ANALYTIC,F,,1,
35,STANDARD,COVAR_SAMP,F,2,1,
36,STANDARD,COVAR_POP,F,2,1,
37,STANDARD,VAR_SAMP,F,1,1,
38,STANDARD,VAR_POP,F,1,1,
39,STANDARD,STDDEV_SAMP,F,1,1,
40,STANDARD,STDDEV_POP,F,1,1,
41,STANDARD,REGR_SLOPE,F,2,1,
42,STANDARD,REGR_INTERCEPT,F,2,1,
43,STANDARD,REGR_COUNT,F,2,1,
44,STANDARD,REGR_R2,F,2,1,
45,STANDARD,REGR_AVGX,F,2,1,
46,STANDARD,REGR_AVGY,F,2,1,
47,STANDARD,REGR_SXX,F,2,1,
48,STANDARD,REGR_SYY,F,2,1,
49,STANDARD,REGR_SXY,F,2,1,
50,STANDARD,CORR,F,2,1,
51,STANDARD,AVG,F,1,1,
52,STANDARD,COUNT,F,1,1,
53,STANDARD,MAX,F,1,1,
54,STANDARD,MIN,F,1,1,
55,STANDARD,STDDEV,F,1,1,
56,STANDARD,SUM,F,1,1,
57,STANDARD,VARIANCE,F,1,1,
58,STANDARD,GROUPING,F,1,1,
59,STANDARD,GROUPING_ID,F,,1,
60,STANDARD,GROUP_ID,F,0,1,
61,STANDARD,ROLLUP,F,,1,
62,STANDARD,CUBE,F,,1,
63,STANDARD,GROUPING_SETS,F,,1,
64,STANDARD,SET,F,,1,
65,STANDARD,CAST,F,2,1,
66,STANDARD,BIN_TO_NUM,F,,1,
67,STANDARD,WIDTH_BUCKET,F,4,1,
68,STANDARD,LEVEL,F,0,1,
69,STANDARD,SYS_CONNECT_BY_PATH,F,2,1,
70,STANDARD,DECODE,F,,1,
71,STANDARD,CONNECT_BY_ISCYCLE,F,0,1,
72,STANDARD,CONNECT_BY_ISLEAF,F,0,1,
94,STANDARD,CATSEARCH,F,3,1,
95,STANDARD,CONTAINS,F,3,1,
96,STANDARD,MATCH_SCORE,F,1,1,
97,STANDARD,MATCHES,F,3,1,
98,STANDARD,SCORE,F,1,1,
99,STANDARD,LNNVL,F,1,1,
100,STANDARD,COLLECT,F,1,1,
101,STANDARD,ABS,F,1,1,
102,STANDARD,ADD_MONTHS,F,2,1,
103,STANDARD,ASCII,F,1,1,
104,STANDARD,CEIL,F,1,1,
105,STANDARD,CHR,F,1,1,
106,STANDARD,FLOOR,F,1,1,
107,STANDARD,GREATEST,F,,1,
108,STANDARD,INITCAP,F,1,1,
109,STANDARD,INSTR,F,4,1,
110,STANDARD,LAST_DAY,F,1,1,
111,STANDARD,LEAST,F,,1,
112,STANDARD,LENGTH,F,1,1,
113,STANDARD,LOWER,F,1,1,
114,STANDARD,LPAD,F,3,1,
115,STANDARD,LTRIM,F,2,1,
116,STANDARD,MOD,F,2,1,
